batter_1,batter_2,runs,wicket,season,not_out,grade,date,opposition,venue,match_id
Ross Baker,Dennis Freind,0,6,2000,No,,14 Oct 2000,Scarborough Cricket Club,Coolbinia Reserve #2,603880
TW DeRozario,Danny Toohey,121,11,2019,Yes,E Division One Day Grade,18 Jan 2020,Maylands,Yokine Reserve (Coolbinia Oval No. 1),636198
Nilan Chandratilake,Duane Crombie,65,2,2019,No,,14 Mar 2020,Ellenbrook Rangers,Ellenbrook District Open Space (South Oval),636205
Duane Crombie,Chris Popoff,54,4,2019,No,,14 Mar 2020,Ellenbrook Rangers,Ellenbrook District Open Space (South Oval),636205
Duane Crombie,Sajan Hanjra,45,5,2019,No,,14 Mar 2020,Ellenbrook Rangers,Ellenbrook District Open Space (South Oval),636205
Duane Crombie,J Trichilo,34,3,2019,No,,14 Mar 2020,Ellenbrook Rangers,Ellenbrook District Open Space (South Oval),636205
Sajan Hanjra,Scott Powell,10,6,2019,Yes,,14 Mar 2020,Ellenbrook Rangers,Ellenbrook District Open Space (South Oval),636205
Nilan Chandratilake,Bruce Stark,4,1,2019,No,,14 Mar 2020,Ellenbrook Rangers,Ellenbrook District Open Space (South Oval),636205
Davis Bode,Chris Mok,49,4,2020,No,,20 Mar 2021,Carlisle Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),618029
Davis Bode,Michael Peter,11,5,2020,Yes,,20 Mar 2021,Carlisle Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),618029
Davis Bode,Brett Harrison,11,3,2020,No,,20 Mar 2021,Carlisle Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),618029
Davis Bode,J Naidoo,1,1,2020,No,,20 Mar 2021,Carlisle Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),618029
Darren Stride,Robbie Edwards,0,11,2020,Yes,E Division One Day Grade,31 Oct 2020,Carlisle Cricket Club,Yokine Reserve (Coolbinia Oval No. 2),617874
Davis Bode,Darren Stride,0,2,2020,No,,20 Mar 2021,Carlisle Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),618029
Thanuja Jayakodi Arachchige,Ryan James,0,11,2021,Yes,B Division One Day Grade,6 Nov 2021,Forrestfield Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),636815
Nathan Hearnes,Daniel Lambrinidis,65,7,2022,No,,25 Mar 2023,Ferndale Lynwood CC,Ferndale Reserve (Ferndale Park 2),637998
Cameron Lee,Daniel Sims,48,1,2022,No,,11 Mar 2023,SKLP Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),637993
Daniel Sims,Trent George Kennedy,46,2,2022,No,,11 Mar 2023,SKLP Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),637993
Paul Holmes,Vishnu Rajendran,23,5,2022,No,,11 Mar 2023,SKLP Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),637993
Hayden Candy,Nathan Hearnes,23,4,2022,No,,25 Mar 2023,Ferndale Lynwood CC,Ferndale Reserve (Ferndale Park 2),637998
Nathan Hearnes,Paul Holmes,18,6,2022,No,,25 Mar 2023,Ferndale Lynwood CC,Ferndale Reserve (Ferndale Park 2),637998
Dan Leatham,Grant Carslake,15,7,2022,Yes,,11 Mar 2023,SKLP Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),637993
Nathan Hearnes,Vishnu Rajendran,15,5,2022,No,,25 Mar 2023,Ferndale Lynwood CC,Ferndale Reserve (Ferndale Park 2),637998
Cameron Lee,Daniel Sims,15,1,2022,No,,25 Mar 2023,Ferndale Lynwood CC,Ferndale Reserve (Ferndale Park 2),637998
Paul Holmes,Daniel Lambrinidis,9,4,2022,No,,11 Mar 2023,SKLP Cricket Club,Yokine Reserve (Coolbinia Oval No. 1),637993
Clinton Reid,Hayden Candy,8,3,2022,No,,25 Mar 2023,Ferndale Lynwood CC,Ferndale Reserve (Ferndale Park 2),637998
